Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2018-07-01,Ukraine,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2018-07-01,United Arab Emirates,0,112,112,(null),(null),(null),0,0,2155,0,0,0,0,1994
2018-07-01,United Kingdom,3,43,46,(null),(null),(null),0,0,90,0,1,0,0,23
2018-07-01,United States,2,81,83,(null),(null),(null),0,0,303,0,0,0,0,245
2018-07-01,Worldwide,0,0,0,(null),(null),(null),0,0,0,0,0,0,0,0
2018-01-01,Argentina,0,10,10,(null),(null),(null),0,0,10,0,0,0,0,0
2018-01-01,Australia,1,6,7,(null),(null),(null),0,0,9,0,10,0,0,0
2018-01-01,Austria,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2018-01-01,Azerbaijan,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2018-01-01,Bahrain,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2018-01-01,Brazil,15,27,42,(null),(null),(null),0,0,89,0,52,0,0,26
2018-01-01,Canada,0,8,8,(null),(null),(null),0,0,8,0,0,0,0,4
2018-01-01,Colombia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,0
2018-01-01,Dominican Republic,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2018-01-01,Ecuador,2,2,4,(null),(null),(null),0,0,5,0,0,0,0,2
2018-01-01,France,2,131,133,(null),(null),(null),0,0,313,0,55,0,0,160
2018-01-01,Germany,2,31,33,(null),(null),(null),0,0,54,0,66,0,0,8
2018-01-01,Greece,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,1
2018-01-01,India,9,237,246,(null),(null),(null),0,0,1694,19,498,0,0,142
2018-01-01,Indonesia,0,189,189,(null),(null),(null),0,0,1683,0,0,0,0,522
2018-01-01,Ireland,0,11,11,(null),(null),(null),0,0,60,0,51,0,0,3
2018-01-01,Israel,0,3,3,(null),(null),(null),0,0,42,22,0,0,0,11
2018-01-01,Italy,0,6,6,(null),(null),(null),0,0,6,0,0,0,0,3
2018-01-01,Japan,9,187,196,(null),(null),(null),0,0,1101,2,82,0,0,482
2018-01-01,Kazakhstan,1,1,2,(null),(null),(null),0,0,6,0,0,0,0,1
2018-01-01,Kuwait,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,1
2018-01-01,Lebanon,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,0
2018-01-01,Malaysia,0,12,12,(null),(null),(null),0,0,29,0,0,0,0,20
2018-01-01,Mexico,0,2,2,(null),(null),(null),0,0,4,0,0,0,0,1
2018-01-01,Netherlands,0,3,3,(null),(null),(null),0,0,4,0,4,0,0,3
2018-01-01,Oman,0,3,3,(null),(null),(null),0,0,35,0,0,0,0,8
2018-01-01,Pakistan,3,240,243,(null),(null),(null),0,0,3004,0,0,0,0,141
2018-01-01,Panama,3,1,4,(null),(null),(null),0,0,4,0,0,0,0,0
2018-01-01,Poland,0,3,3,(null),(null),(null),0,0,14,0,0,0,0,2
2018-01-01,Russia,56,1585,1641,(null),(null),(null),0,0,2053,59,357,0,0,764
2018-01-01,Saudi Arabia,0,8,8,(null),(null),(null),0,0,9,0,0,0,0,4
2018-01-01,Singapore,0,2,2,(null),(null),(null),0,0,1,0,0,0,0,0
2018-01-01,South Korea,1,142,143,(null),(null),(null),0,0,1019,0,2,0,0,889
2018-01-01,Spain,4,6,10,(null),(null),(null),0,0,10,0,0,0,0,0
2018-01-01,Turkey,508,8480,8988,(null),(null),(null),0,0,13843,425,1464,0,0,2560
2018-01-01,United Arab Emirates,0,111,111,(null),(null),(null),0,0,2209,0,0,0,0,1828
2018-01-01,United Kingdom,12,54,66,(null),(null),(null),0,0,249,0,15,0,0,48
2018-01-01,United States,0,99,99,(null),(null),(null),0,0,228,0,0,0,0,173
2018-01-01,Worldwide,0,0,0,(null),(null),(null),0,0,0,0,0,0,0,0
2017-07-01,Argentina,0,2,2,(null),(null),(null),0,0,5,0,0,0,0,0
2017-07-01,Australia,1,3,4,(null),(null),(null),0,0,10,2,0,0,0,8
2017-07-01,Austria,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-07-01,Belgium,0,3,3,(null),(null),(null),0,0,3,0,0,0,0,1
2017-07-01,Brazil,12,30,42,(null),(null),(null),0,0,101,3,19,0,0,14
2017-07-01,Canada,0,7,7,(null),(null),(null),0,0,9,0,0,0,0,6
2017-07-01,Colombia,0,2,2,(null),(null),(null),0,0,2,0,0,0,0,1
2017-07-01,Ecuador,0,4,4,(null),(null),(null),0,0,7,0,0,0,0,1
2017-07-01,Finland,0,2,2,(null),(null),(null),0,0,14,0,0,0,0,3
2017-07-01,France,2,80,82,(null),(null),(null),0,0,139,0,5,0,0,50
2017-07-01,Germany,1,32,33,(null),(null),(null),0,0,67,2,11,0,0,30
2017-07-01,Greece,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,India,2,142,144,(null),(null),(null),0,0,800,17,32,0,0,143
2017-07-01,Indonesia,0,65,65,(null),(null),(null),0,0,196,0,0,0,0,82
2017-07-01,Iraq,0,1,1,(null),(null),(null),0,0,1,0,0,0,0,0
2017-07-01,Ireland,0,9,9,(null),(null),(null),0,0,16,0,0,0,0,0
2017-07-01,Israel,2,3,5,(null),(null),(null),0,0,5,0,0,0,0,4
2017-07-01,Italy,0,9,9,(null),(null),(null),0,0,7,0,0,0,0,3
2017-07-01,Japan,7,157,164,(null),(null),(null),0,0,637,0,71,0,0,244
2017-07-01,Kuwait,0,8,8,(null),(null),(null),0,0,15,0,0,0,0,7
2017-07-01,Luxembourg,0,1,1,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,Malaysia,0,13,13,(null),(null),(null),0,0,17,0,0,0,0,2
2017-07-01,Maldives,1,0,1,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,Mexico,0,8,8,(null),(null),(null),0,0,8,0,0,0,0,5
2017-07-01,Netherlands,0,3,3,(null),(null),(null),0,0,3,0,2,0,0,2
2017-07-01,Pakistan,0,75,75,(null),(null),(null),0,0,674,0,0,0,0,42
2017-07-01,Poland,2,1,3,(null),(null),(null),0,0,2,0,0,0,0,0
2017-07-01,Portugal,1,0,1,(null),(null),(null),0,0,1,0,0,0,0,1
