Table 1/2: Government Information Requests,,,,,,,,,,,,
Time period start,Country,Routine requests,Emergency requests,Combined requests,Routine compliance rate,Emergency compliance rate,Combined compliance rate,Routine accounts specified,Emergency accounts specified,Combined accounts specified,Preservation accounts,Preservation requests
2018-07-01,France,323,50,373,0.49,0.36,0.47,426,76,502,1,1
2018-07-01,Germany,369,25,394,0.27,0.32,0.27,505,34,539,5,5
2018-07-01,Greece,10,5,15,0.1,0.6,0.27,16,7,23,4,4
2018-07-01,Guatemala,3,4,7,0,0,0,10,5,15,0,0
2018-07-01,Hong Kong SAR,2,2,4,0,0,0,2,2,4,1,1
2018-07-01,Hungary,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,India,373,49,422,0.19,0.1,0.18,976,76,1052,100,30
2018-07-01,Indonesia,1,14,15,0,0,0,1,14,15,0,0
2018-07-01,Ireland,2,1,3,0.5,0,0.33,2,5,7,14,7
2018-07-01,Israel,0,7,7,(null),0.57,0.57,0,7,7,0,0
2018-07-01,Italy,49,2,51,0.33,0.5,0.33,174,3,177,73,16
2018-07-01,Japan,1418,241,1659,0.67,0.55,0.65,1981,280,2261,0,0
2018-07-01,Jordan,4,3,7,0,0,0,7,5,12,1,1
2018-07-01,Kuwait,2,1,3,0,0,0,2,1,3,0,0
2018-07-01,Lithuania,2,0,2,0,(null),0,0,0,0,0,0
2018-07-01,Luxembourg,1,0,1,1,(null),1,0,0,0,0,0
2018-07-01,Macedonia,7,0,7,0,(null),0,0,0,0,0,0
2018-07-01,Malaysia,1,1,2,0,0,0,1,2,3,1,1
2018-07-01,Maldives,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,Malta,2,2,4,0,0,0,2,3,5,0,0
2018-07-01,Mexico,32,18,50,0,0.39,0.14,63,20,83,20,12
2018-07-01,Nepal,2,2,4,0,0,0,2,2,4,0,0
2018-07-01,Netherlands,27,12,39,0.63,0.92,0.72,30,12,42,83,78
2018-07-01,New Zealand,0,0,0,(null),(null),(null),0,0,0,3,1
2018-07-01,Norway,0,0,0,(null),(null),(null),0,0,0,1,2
2018-07-01,Pakistan,15,2,17,0,0,0,16,7,23,2,2
2018-07-01,Panama,0,0,0,(null),(null),(null),0,0,0,2,1
2018-07-01,Paraguay,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,Poland,14,5,19,0,0.4,0.11,19,5,24,1,1
2018-07-01,Portugal,0,1,1,(null),0,0,0,2,2,0,0
2018-07-01,Puerto Rico,0,0,0,(null),(null),(null),0,0,0,3,3
2018-07-01,Qatar,0,0,0,(null),(null),(null),0,0,0,1,1
2018-07-01,Russia,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,Serbia,12,8,20,0,0.38,0.15,15,9,24,0,0
2018-07-01,Singapore,3,6,9,0,0.33,0.22,3,7,10,0,0
2018-07-01,Slovenia,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,South Korea,122,13,135,0.11,0.15,0.12,212,25,237,0,0
2018-07-01,Spain,91,0,91,0.21,(null),0.21,0,0,0,48,38
2018-07-01,Sweden,8,3,11,0.38,0.67,0.45,9,3,12,1,1
2018-07-01,Switzerland,3,2,5,0,0,0,15,2,17,1,1
2018-07-01,Taiwan,0,1,1,(null),0,0,0,1,1,0,0
2018-07-01,Thailand,1,0,1,0,(null),0,0,0,0,0,0
2018-07-01,Turkey,270,7,277,0,0,0,505,7,512,0,0
2018-07-01,United Arab Emirates,1,2,3,0,1,0.67,1,2,3,0,0
2018-07-01,United Kingdom,376,505,881,0.68,0.8,0.75,549,536,1085,82,27
2018-07-01,United States,1624,468,2092,0.79,0.51,0.73,3294,567,3861,3265,1187
2018-01-01,Argentina,54,8,62,0.07,0.13,0.08,61,11,72,19,14
2018-01-01,Australia,15,9,24,0.47,0.56,0.5,80,12,92,41,14
2018-01-01,Austria,2,1,3,0,1,0.33,2,1,3,0,0
2018-01-01,Bangladesh,1,0,1,0,(null),0,0,0,0,0,0
2018-01-01,Belgium,17,0,17,0.76,(null),0.76,0,0,0,0,0
2018-01-01,Brazil,41,4,45,0.34,0,0.31,73,4,77,1,1
2018-01-01,Bulgaria,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Canada,3,34,37,0.67,0.71,0.7,5,37,42,46,18
2018-01-01,Chile,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Colombia,9,8,17,0,0,0,13,31,44,1,1
2018-01-01,Czech Republic,0,0,0,(null),(null),(null),0,0,0,4,2
2018-01-01,Dominican Republic,3,11,14,0,0,0,4,11,15,0,0
2018-01-01,Ecuador,6,0,6,0,(null),0,0,0,0,0,0
2018-01-01,El Salvador,3,1,4,0,0,0,10,1,11,2,2
2018-01-01,Finland,3,0,3,0.33,(null),0.33,0,0,0,0,0
2018-01-01,France,365,66,431,0.55,0.61,0.56,516,207,723,5,2
2018-01-01,Germany,289,31,320,0.23,0.52,0.26,568,37,605,19,6
2018-01-01,Greece,11,6,17,0.09,0.67,0.29,13,6,19,5,2
2018-01-01,Guatemala,1,0,1,0,(null),0,0,0,0,0,0
2018-01-01,Hong Kong SAR,2,0,2,0,(null),0,0,0,0,0,0
2018-01-01,Hungary,3,0,3,0,(null),0,0,0,0,0,0
2018-01-01,India,306,49,355,0.12,0.04,0.11,536,59,595,28,23
2018-01-01,Indonesia,1,16,17,0,0.25,0.24,1,16,17,0,0
2018-01-01,Ireland,8,3,11,0.38,0,0.27,8,3,11,14,5
2018-01-01,Israel,1,7,8,0,0.14,0.13,1,8,9,0,0
2018-01-01,Italy,53,14,67,0.34,0.43,0.36,104,14,118,8,5
2018-01-01,Japan,1178,248,1426,0.7,0.55,0.67,1583,324,1907,0,0
2018-01-01,Jordan,0,3,3,(null),0,0,0,3,3,0,0
2018-01-01,Kenya,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Kuwait,1,1,2,0,1,0.5,4,1,5,0,0
2018-01-01,Lebanon,1,0,1,0,(null),0,0,0,0,0,0
2018-01-01,Macedonia,1,0,1,0,(null),0,0,0,0,0,0
2018-01-01,Maldives,6,5,11,0,0,0,6,5,11,0,0
2018-01-01,Malta,4,0,4,0,(null),0,0,0,0,0,0
2018-01-01,Mexico,26,8,34,0.15,0.63,0.26,569,12,581,19,8
2018-01-01,Netherlands,7,2,9,0.43,0.5,0.44,11,3,14,5,5
2018-01-01,New Zealand,0,1,1,(null),1,1,0,1,1,2,1
2018-01-01,Oman,0,1,1,(null),0,0,0,2,2,0,0
2018-01-01,Pakistan,18,4,22,0,0,0,50,4,54,8,2
2018-01-01,Peru,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Philippines,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Poland,13,5,18,0,0.2,0.06,28,6,34,2,1
2018-01-01,Portugal,4,0,4,0.5,(null),0.5,0,0,0,1,1
2018-01-01,Romania,0,1,1,(null),0,0,0,1,1,0,0
2018-01-01,Saudi Arabia,1,2,3,0,0,0,1,2,3,0,0
2018-01-01,Serbia,2,5,7,0,0,0,2,5,7,0,0
2018-01-01,Singapore,4,2,6,0,1,0.33,4,3,7,0,0
2018-01-01,South Korea,76,16,92,0.12,0.31,0.15,156,16,172,0,0
2018-01-01,Spain,140,2,142,0.34,0.5,0.34,232,3,235,89,57
2018-01-01,Sweden,13,0,13,0.38,(null),0.38,0,0,0,0,0
2018-01-01,Switzerland,2,2,4,0.5,0.5,0.5,2,2,4,3,2
2018-01-01,Turkey,428,17,445,0,0,0,744,21,765,2,2
2018-01-01,United Arab Emirates,0,7,7,(null),0.29,0.29,0,8,8,0,0
2018-01-01,United Kingdom,416,531,947,0.66,0.73,0.7,548,707,1255,37,25
2018-01-01,United States,1787,444,2231,0.81,0.55,0.76,8723,503,9226,3241,1170
2017-07-01,Albania,1,0,1,0,(null),0,0,0,0,0,0
2017-07-01,Argentina,58,22,80,0.02,0.32,0.1,77,23,100,4,4
2017-07-01,Australia,13,3,16,0.38,0.33,0.38,48,7,55,50,13
2017-07-01,Austria,4,3,7,0.75,0,0.43,4,3,7,0,0
2017-07-01,Belgium,20,5,25,0.6,0.8,0.64,28,6,34,3,2
2017-07-01,Brazil,56,4,60,0.29,0,0.27,96,4,100,4,3
2017-07-01,Canada,2,22,24,0,0.91,0.83,2,22,24,12,8
2017-07-01,Chile,1,1,2,0,0,0,1,1,2,0,0
2017-07-01,Colombia,6,14,20,0,0,0,7,13,20,0,0
2017-07-01,Croatia,0,1,1,(null),0,0,0,1,1,0,0
2017-07-01,Denmark,2,0,2,0,(null),0,0,0,0,0,0
2017-07-01,Dominican Republic,2,1,3,0,0,0,2,1,3,0,0
2017-07-01,Egypt,0,2,2,(null),0,0,0,2,2,0,0
2017-07-01,El Salvador,1,3,4,0,0,0,1,3,4,0,0
2017-07-01,Finland,4,2,6,0.75,1,0.83,10,2,12,7,3
2017-07-01,France,328,28,356,0.65,0.64,0.65,452,35,487,2,2
2017-07-01,Germany,215,22,237,0.29,0.32,0.29,385,22,407,12,8
2017-07-01,Greece,6,0,6,0,(null),0,0,0,0,1,1
2017-07-01,Guatemala,0,1,1,(null),0,0,0,1,1,0,0
2017-07-01,Hong Kong SAR,1,1,2,0,0,0,2,3,5,0,0
2017-07-01,Hungary,1,0,1,0,(null),0,0,0,0,0,0
2017-07-01,India,297,18,315,0.16,0,0.15,753,19,772,15,12
2017-07-01,Indonesia,3,10,13,0,0.2,0.15,3,11,14,0,0
2017-07-01,Ireland,5,0,5,0.2,(null),0.2,0,0,0,46,7
