"Date","Abbreviation","Expansions","Label","Group"
"Feb 8, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 8, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Feb 8, 2022","issue","1","Construct a URL to a GitHub Issue.","Extratext"
"Feb 8, 2022","linking","1","URL to The Ubiquitous Linking Manifesto. ","Extratext"
"Feb 8, 2022","more","1","Read More Tag","Extratext"
"Feb 8, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 8, 2022","sys","1","Convert iOS System Sounds link (from repo) to base64 link.","Extratext"
"Feb 8, 2022","twt","1","Twitter","Extratext"
"Feb 8, 2022","wget","1","wget","Extratext"
"Feb 9, 2022","backtap","1","URL to "Use Back Tap on your iPhone” Apple documentation.","Extratext"
"Feb 9, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Feb 9, 2022","gm3","1","Good Morning 3","Text Fuck"
"Feb 9, 2022","hi","1","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Feb 9, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 9, 2022","idco","1","@ColumbiaMO’s chat id.","Telegram"
"Feb 9, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 9, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Feb 9, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 9, 2022","ts","6","Timestamp in DavodTime","Extratext"
"Feb 9, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 9, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 12, 2022","cut","2","Construct a Shortcuts Run Link. ","Extratext"
"Feb 12, 2022","ddpsalms","1","URL to “The Psalms” theme in the Drafts Action Directory.","Extratext"
"Feb 12, 2022","drafts","1","URL of Drafts on The Psalms’ GitHub repository.","Extratext"
"Feb 12, 2022","greyhound","1","URL to my Greyhound Drafts theme in the Drafts Directory.","Extratext"
"Feb 12, 2022","io","2","Construct a URL to my various GitHub Pages… Pages.","Extratext"
"Feb 12, 2022","issue","7","Construct a URL to a GitHub Issue.","Extratext"
"Feb 12, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Feb 12, 2022","reddit","1","URL to my profile on Reddit.","Extratext"
"Feb 12, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 12, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 12, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 12, 2022","twt","3","Twitter","Extratext"
"Feb 12, 2022","wget","1","wget","Extratext"
"Feb 13, 2022","aech","1","h","Text Fuck"
"Feb 13, 2022","as","1","Blog post string to edit page.","Extratext"
"Feb 13, 2022","aud","1","<audio> Element Embed","Extratext"
"Feb 13, 2022","aviary","1","App Store share URL for Aviary for iOS.","Extratext"
"Feb 13, 2022","cant ","1","","Contractions - English (US)"
"Feb 13, 2022","cassi","2","Root of Matthew Cassinelli’s Action Directory","Extratext"
"Feb 13, 2022","cut","2","Construct a Shortcuts Run Link. ","Extratext"
"Feb 13, 2022","ddmasto","3","URL to the “Post to Mastodon” action in the Drafts directory.","Extratext"
"Feb 13, 2022","ddthemes","1","URL to the Drafts themes directory, ordered by most recent.","Extratext"
"Feb 13, 2022","ddzalgo","4","URL to zalgo drafts action.","Extratext"
"Feb 13, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 13, 2022","idco","2","@ColumbiaMO’s chat id.","Telegram"
"Feb 13, 2022","import","1","URL to Import page in Raindrop.","Extratext"
"Feb 13, 2022","int","2","Interrobang‽‽‽ ","Extratext"
"Feb 13, 2022","io","2","Construct a URL to my various GitHub Pages… Pages.","Extratext"
"Feb 13, 2022","issue","6","Construct a URL to a GitHub Issue.","Extratext"
"Feb 13, 2022","itext","1","URL to Brett Terpstra’s “iTextEditors” wiki.","Extratext"
"Feb 13, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 13, 2022","mdcontact","2","A list of essential social links in markdown.","Extratext"
"Feb 13, 2022","more","1","Read More Tag","Extratext"
"Feb 13, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 13, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 13, 2022","share","1","Shared URL of this snippet group (Extratext.)","Extratext"
"Feb 13, 2022","shihab","2","App Store Market Tools Developer URL for Shihab Meboob.","Extratext"
"Feb 13, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 13, 2022","shorttwt","1","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Feb 13, 2022","sys","1","Convert iOS System Sounds link (from repo) to base64 link.","Extratext"
"Feb 13, 2022","tbutton","2","Rose ButtonURLs.","Telegram"
"Feb 13, 2022","ts","3","Timestamp in DavodTime","Extratext"
"Feb 13, 2022","twt","6","Twitter","Extratext"
"Feb 13, 2022","wget","2","wget","Extratext"
"Feb 13, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 13, 2022","wtf","3","WTF domain","Extratext"
"Feb 14, 2022",".runipa","1","Run Get IP Address (All)","Thought Asylum - Shell Commands"
"Feb 14, 2022","actions","1","App Store share URL for Actions by Sindre Sorhus.","Extratext"
"Feb 14, 2022","aviary","1","App Store share URL for Aviary for iOS.","Extratext"
"Feb 14, 2022","cut","1","Construct a Shortcuts Run Link. ","Extratext"
"Feb 14, 2022","desc","1","Video streaming service description template - the contact links and decorative matter.","Extratext"
"Feb 14, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Feb 14, 2022","drynet","1","URL to the Drywall Website Archive on NeoCities","Extratext"
"Feb 14, 2022","fuckshare","1","URL to share this Snippet Group","Text Fuck"
"Feb 14, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 14, 2022","ihadt","2","URL to the Drywall Twitter account.","Extratext"
"Feb 14, 2022","invite","1","An invitation to join me in Social Web heaven.","Extratext"
"Feb 14, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 14, 2022","jail","3","URL to "The Fastest Route to Twitter Jail” on The Psalms.","Extratext"
"Feb 14, 2022","jar","1","URL to Data Jar for iOS.","Extratext"
"Feb 14, 2022","kill","2","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 14, 2022","more","1","Read More Tag","Extratext"
"Feb 14, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Feb 14, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 14, 2022","sys","1","Get System Information (BASH)","Test"
"Feb 14, 2022","tb6","1","URL to my “Tweetbot 6 for iOS Review” on The Psalms.","Extratext"
"Feb 14, 2022","test","1","URL to the UUID-specified link to my Test draft export.","Extratext"
"Feb 14, 2022","ts","2","Timestamp in DavodTime","Extratext"
"Feb 14, 2022","tweetbot","1","URL to Tweetbot on the App Store.","Extratext"
"Feb 14, 2022","twt","2","Twitter","Extratext"
"Feb 14, 2022","wikiindex","1","Open The Psalms’ Wiki on GitHub.","Extratext"
"Feb 14, 2022","wouldnt ","1","","Contractions - English (US)"
"Feb 15, 2022","bilge","1","Canonical URL of a blog post string.","Extratext"
"Feb 15, 2022","idbreak","1","Breakcore Pagans group chat id.","Telegram"
"Feb 15, 2022","idco","2","@ColumbiaMO’s chat id.","Telegram"
"Feb 15, 2022","issue","3","Construct a URL to a GitHub Issue.","Extratext"
"Feb 15, 2022","more","1","Read More Tag","Extratext"
"Feb 15, 2022","rh","2","Url to my RoutineHub profile.","Extratext"
"Feb 15, 2022","rs","2","Terminal Shortcuts CLI","Extratext"
"Feb 15, 2022","shortcc","2","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 15, 2022","wtf","1","WTF domain","Extratext"
"Feb 16, 2022","hi","1","Columbia MO local Telegram Group Chat Prompt","Telegram"
"Feb 20, 2022","colossus","1","“The New Colossus” by Emma Lazarus - used mostly as lorem ipsum.","Extratext"
"Feb 20, 2022","ddiowa","1","URL to my “Windows Iowa” dark theme in the Drafts Directory.","Extratext"
"Feb 20, 2022","ddpsalms","2","URL to “The Psalms” theme in the Drafts Action Directory.","Extratext"
"Feb 20, 2022","ddthemes","2","URL to the Drafts themes directory, ordered by most recent.","Extratext"
"Feb 20, 2022","dine","1","Z-Ro’s statement of purpose - a longtime personal meme.","Extratext"
"Feb 20, 2022","drybirt","1","Drywall Birthday","Extratext"
"Feb 20, 2022","issue","1","Construct a URL to a GitHub Issue.","Extratext"
"Feb 20, 2022","line","2","Create a three-dash horizontal line.","Extratext"
"Feb 20, 2022","macdrafts","1","URL to Drafts for macOS on the App Store.","Extratext"
"Feb 20, 2022","more","1","Read More Tag","Extratext"
"Feb 20, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 20, 2022","rs","1","Terminal Shortcuts CLI","Extratext"
"Feb 20, 2022","shell","1","Construct Blink Shell URL scheme.","Extratext"
"Feb 20, 2022","tb6","1","URL to my “Tweetbot 6 for iOS Review” on The Psalms.","Extratext"
"Feb 20, 2022","twt","1","Twitter","Extratext"
"Feb 20, 2022","~","1","Tilde.Town profile.","Extratext"
"Feb 21, 2022","issue","2","Construct a URL to a GitHub Issue.","Extratext"
"Feb 21, 2022","kill","1","Force quits the Shortcuts app - need to figure out a way to actually kill the *process*.","Extratext"
"Feb 21, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Feb 21, 2022","mdcontact","1","A list of essential social links in markdown.","Extratext"
"Feb 21, 2022","rh","1","Url to my RoutineHub profile.","Extratext"
"Feb 21, 2022","shortcc","1","Contact links list specifically for comments in published Siri Shortcuts.","Extratext"
"Feb 21, 2022","shorttwt","2","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Feb 21, 2022","textcase","2","App Store share URL for Christopher R. Hannah’s Text Case","Extratext"
"Feb 21, 2022","ts","1","Timestamp in DavodTime","Extratext"
"Feb 21, 2022","twt","1","Twitter","Extratext"
"Feb 21, 2022","wget","6","wget","Extratext"
"Feb 21, 2022","~","1","Tilde.Town profile.","Extratext"
"Mar 5, 2022","line","1","Create a three-dash horizontal line.","Extratext"
"Mar 10, 2022","shorttwt","1","URL to the Siri Shortcuts community on Twitter.","Extratext"
"Mar 10, 2022","ts","1","Timestamp in DavodTime","Extratext"
